title,url,date,content,thumbnail,celebrity,status
(EDITORIAL from Korea Times on Dec. 19),https://en.yna.co.kr/view/AEN20241219000900315?section=search,2024-12-19,"(EDITORIAL from Korea Times on Dec. 19)
...tance of democracy, no matter how fragile, and the value of life. Not only that, both ordinary citizens and well-known figures, such as singer IU, pitched in to cover the cost of food and beverages for many of the pro-impeachment rally participants in Yeouido, where the National Assembly is ...
07:05 Dec. 19",,iu,CURRENT
"IU, Byeon Woo-seok stars in MBC's new romance series",https://en.yna.co.kr/view/AEN20241202002900315?section=search,2024-12-02,"IU, Byeon Woo-seok stars in MBC's new romance series
SEOUL, Dec. 2 (Yonhap) -- Singer-actress IU and ""Lovely Runner"" star Byeon Woo-seok have been confirmed to star in a new...ent said Monday. Set in an alternate Korea with a constitutional monarchy, IU will portray Seong Hee-ju, an ordinary woman from a wealthy chaebol family, ...
09:24 Dec. 02",https://img.yna.co.kr/etc/inner/EN/2024/12/02/AEN20241202002900315_02_i_P2.jpg,iu,CURRENT
(LEAD) BTS' Jimin wins main category at 2024 MAMA Awards,https://en.yna.co.kr/view/AEN20241122007251315?section=search,2024-11-22,"(LEAD) BTS' Jimin wins main category at 2024 MAMA Awards
...ormer Female and the CJ Global Performance Award. Joining Ive in the Fans' Choice Female Top 10 category were aespa, (G)I-dle, Babymonster, IU, BLACKPINK's Jennie, Lee Young Ji, NewJeans, TWICE and Unis. On Thursday (U.S. time), the event held at Hollywood's iconic Dolby Theatre ...
23:01 Nov. 22",https://img.yna.co.kr/etc/inner/EN/2024/11/22/AEN20241122007251315_07_i_P2.jpg,iu,CURRENT
Billlie makes full-group comeback with new EP,https://en.yna.co.kr/view/AEN20241016007900315?section=search,2024-10-16,"Billlie makes full-group comeback with new EP
...y"" features lyrics written by K-pop diva IU, who collaborated with Billlie for the first ...she said. Asked how the collaboration with IU was realized, Moon said, ""She had been ...hers."" She added the group had covered IU's latest hit song at a recent concert for fans....
16:59 Oct. 16",https://img.yna.co.kr/photo/yna/YH/2024/10/16/PYH2024101611460001300_P2.jpg,iu,CURRENT
S. Korea to ask to move venue for World Cup qualifier in Oct.,https://en.yna.co.kr/view/AEN20240924007800315?section=search,2024-09-24,"S. Korea to ask to move venue for World Cup qualifier in Oct.
...ting national team matches, the stadium also holds music concerts and other non-sporting events. It hosted concerts by the South Korean singer IU over the weekend. ""After inspecting the pitch at Seoul World Cup Stadium on Monday, we decided the conditions wouldn't improve in time ...
17:42 Sep. 24",https://img.yna.co.kr/photo/cms/2024/07/12/93/PCM20240712000093007_P2.jpg,iu,CURRENT
IU pens lyrics for all tracks on her new album,https://en.yna.co.kr/view/AEN20240205002700315?section=search,2024-02-05,"IU pens lyrics for all tracks on her new album
SEOUL, Feb. 5 (Yonhap) -- Singer-actor IU has written the lyrics for all the songs on her ...ast track was prereleased last month. ""IU put much effort into crafting this album for a ...um, it added. Beyond the lyrical spotlight, IU also co-composed ""Spore,"" one of the ...
10:02 Feb. 05",https://img.yna.co.kr/photo/yna/YH/2023/03/30/PYH2023033009350001300_P2.jpg,iu,CURRENT
IU to release new album next month,https://en.yna.co.kr/view/AEN20240130003700315?section=search,2024-01-30,"IU to release new album next month
SEOUL, Jan. 30 (Yonhap) -- K-pop diva IU will drop her sixth EP, titled ""The Winning,"" on Feb. 20, her agency said Tuesday....ease, which was posted on social media. ""The Winning"" will mark IU's first album in about two years and a month, following her special EP ""...
10:34 Jan. 30",https://img.yna.co.kr/etc/inner/EN/2024/01/30/AEN20240130003700315_03_i_P2.jpg,iu,CURRENT
NewJeans wins Artist of the Year at 2023 MAMA Awards,https://en.yna.co.kr/view/AEN20231129008800315?section=search,2023-11-29,"NewJeans wins Artist of the Year at 2023 MAMA Awards
...,"" with its featured artist, American rapper Latto Suga clinched the Best Rap & Hip Hop Performance award with ""People Pt. 2 (feat. IU),"" a song released under his other solo stage name Agust D, while Jimin was named Best Male Artist. BLACKPINK member Jisoo received the ...
22:54 Nov. 29",https://img.yna.co.kr/photo/cms/2023/11/06/22/PCM20231106000122005_P2.jpg,iu,CURRENT
Singer-actor IU donates 300 mln won to the vulnerable,https://en.yna.co.kr/view/AEN20230918004900315?section=search,2023-09-18,"Singer-actor IU donates 300 mln won to the vulnerable
...anniversary of her debut, her agency said. IU donated 100 million won each to Asan Medical ...he name of ""IUaena,"" which combines IU's stage name and the name of her fanbase, ... someone,"" she said through the agency. IU is one of the most popular and successful ...
14:08 Sep. 18",https://img.yna.co.kr/photo/yna/YH/2023/04/28/PYH2023042819530001300_P2.jpg,iu,CURRENT
Composer of IU songs denies plagiarism allegations,https://en.yna.co.kr/view/AEN20230511009900315?section=search,2023-05-11,"Composer of IU songs denies plagiarism allegations
SEOUL, May 11 (Yonhap) -- A composer of IU's hit songs on Thursday denied allegations of ...nday filed a complaint with the police against IU, claiming six of her songs copied other works. ...re necessary, adding the recent criticism over IU ""crosses the line."" The six songs ...
18:06 May. 11",https://img.yna.co.kr/photo/cms/2023/04/26/62/PCM20230426000062005_P2.jpg,iu,CURRENT
